iter	Passed	Remaining
0	628	628062
1	809	403863
2	1067	354666
3	1254	312328
4	1438	286209
5	1607	266371
6	1749	248200
7	1871	232102
8	2008	221205
9	2144	212303
10	2279	204977
11	2457	202362
12	2614	198531
13	2755	194084
14	2916	191514
15	3070	188840
16	3205	185348
17	3525	192336
18	3828	197669
19	4054	198667
20	4281	199610
21	4521	201017
22	4760	202210
23	4974	202314
24	5145	200670
25	5272	197500
26	5441	196105
27	5595	194247
28	5742	192286
29	5864	189634
30	5982	186998
31	6113	184945
32	6252	183211
33	6395	181709
34	6538	180272
35	6766	181192
36	6958	181114
37	7116	180150
38	7256	178798
39	7454	178919
40	7610	178011
41	7741	176576
42	7867	175107
43	7984	173484
44	8099	171889
45	8220	170484
46	8367	169656
47	8526	169115
48	8675	168369
49	8797	167155
50	8922	166024
51	9042	164860
52	9165	163762
53	9303	162989
54	9450	162374
