col,rid_old,ccle_name,tissue
c-0,c-76,HEYA8_OVARY,OVARY
c-1,c-77,RKO_LARGE_INTESTINE,INTESTINE
c-2,c-78,CAL62_THYROID,THYROID
c-3,c-79,HLF_LIVER,LIVER
c-4,c-80,T24_URINARY_TRACT,TRACT
c-5,c-81,ES2_OVARY,OVARY
c-6,c-82,YD15_SALIVARY_GLAND,GLAND
c-7,c-83,KYSE70_OESOPHAGUS,OESOPHAGUS
c-8,c-84,KP4_PANCREAS,PANCREAS
c-9,c-85,A2780_OVARY,OVARY
c-10,c-86,AGS_STOMACH,STOMACH
c-11,c-87,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,ENDOMETRIUM
c-12,c-88,HGC27_STOMACH,STOMACH
c-13,c-89,647V_URINARY_TRACT,TRACT
c-14,c-90,CAL12T_LUNG,LUNG
c-15,c-91,L33_PANCREAS,PANCREAS
c-16,c-92,SF295_CENTRAL_NERVOUS_SYSTEM,SYSTEM
c-17,c-93,UO31_KIDNEY,KIDNEY
c-18,c-94,YD10B_UPPER_AERODIGESTIVE_TRACT,TRACT
c-19,c-95,DMS273_LUNG,LUNG
c-20,c-96,G361_SKIN,SKIN
c-21,c-97,OAW42_OVARY,OVARY
c-22,c-98,HMC18_BREAST,BREAST
c-23,c-99,CAL54_KIDNEY,KIDNEY
c-24,c-100,MIAPACA2_PANCREAS,PANCREAS
c-25,c-126,42MGBA_CENTRAL_NERVOUS_SYSTEM,SYSTEM
c-26,c-127,A375_SKIN,SKIN
c-27,c-128,FTC133_THYROID,THYROID
c-28,c-129,HT1080_SOFT_TISSUE,TISSUE
c-29,c-130,SNU1077_ENDOMETRIUM,ENDOMETRIUM
c-30,c-131,JHOC5_OVARY,OVARY
c-31,c-132,NCIH1299_LUNG,LUNG
c-32,c-133,PANC1_PANCREAS,PANCREAS
c-33,c-134,SNU1076_UPPER_AERODIGESTIVE_TRACT,TRACT
c-34,c-135,IGR37_SKIN,SKIN
c-35,c-136,JHH6_LIVER,LIVER
c-36,c-137,NCIH460_LUNG,LUNG
c-37,c-138,SJSA1_BONE,BONE
c-38,c-139,A2058_SKIN,SKIN
c-39,c-140,ACCMESO1_PLEURA,PLEURA
c-40,c-141,VMCUB1_URINARY_TRACT,TRACT
c-41,c-142,YD38_UPPER_AERODIGESTIVE_TRACT,TRACT
c-42,c-143,BFTC909_KIDNEY,KIDNEY
c-43,c-144,DAOY_CENTRAL_NERVOUS_SYSTEM,SYSTEM
c-44,c-145,EFO27_OVARY,OVARY
c-45,c-146,IGR1_SKIN,SKIN
c-46,c-147,LI7_LIVER,LIVER
c-47,c-148,OVK18_OVARY,OVARY
c-48,c-149,SBC5_LUNG,LUNG
c-49,c-150,TOV112D_OVARY,OVARY
c-50,c-151,KELLY_AUTONOMIC_GANGLIA,GANGLIA
c-51,c-152,PATU8902_PANCREAS,PANCREAS
c-52,c-153,TT2609C02_THYROID,THYROID
c-53,c-154,QGP1_PANCREAS,PANCREAS
c-54,c-155,SW1710_URINARY_TRACT,TRACT
c-55,c-156,BECKER_CENTRAL_NERVOUS_SYSTEM,SYSTEM
c-56,c-157,NCIH520_LUNG,LUNG
c-57,c-158,SNU685_ENDOMETRIUM,ENDOMETRIUM
c-58,c-159,SW1353_BONE,BONE
c-59,c-160,A101D_SKIN,SKIN
c-60,c-161,BHT101_THYROID,THYROID
c-61,c-162,HEC1B_ENDOMETRIUM,ENDOMETRIUM
c-62,c-163,SNU61_LARGE_INTESTINE,INTESTINE
c-63,c-164,SNU886_LIVER,LIVER
c-64,c-165,SW1573_LUNG,LUNG
c-65,c-166,G402_SOFT_TISSUE,TISSUE
c-66,c-167,PECAPJ15_UPPER_AERODIGESTIVE_TRACT,TRACT
c-67,c-168,RL952_ENDOMETRIUM,ENDOMETRIUM
c-68,c-169,CADOES1_BONE,BONE
c-69,c-170,COLO668_LUNG,LUNG
c-70,c-171,LS513_LARGE_INTESTINE,INTESTINE
c-71,c-172,RMGI_OVARY,OVARY
c-72,c-173,VMRCRCW_KIDNEY,KIDNEY
c-73,c-174,CAKI1_KIDNEY,KIDNEY
c-74,c-175,OV7_OVARY,OVARY
c-75,c-351,HEC151_ENDOMETRIUM,ENDOMETRIUM
c-76,c-352,RT4_URINARY_TRACT,TRACT
c-77,c-353,SKES1_BONE,BONE
c-78,c-354,HT55_LARGE_INTESTINE,INTESTINE
c-79,c-355,MKN45_STOMACH,STOMACH
c-80,c-356,HEP3B217_LIVER,LIVER
c-81,c-357,HOS_BONE,BONE
c-82,c-358,HUCCT1_BILIARY_TRACT,TRACT
c-83,c-359,NCIH292_LUNG,LUNG
c-84,c-360,RERFLCAI_LUNG,LUNG
c-85,c-361,LS180_LARGE_INTESTINE,INTESTINE
c-86,c-362,SIMA_AUTONOMIC_GANGLIA,GANGLIA
c-87,c-363,CAMA1_BREAST,BREAST
c-88,c-364,MDAMB436_BREAST,BREAST
c-89,c-365,NCIH1435_LUNG,LUNG
c-90,c-366,SNU1196_BILIARY_TRACT,TRACT
c-91,c-367,SNU449_LIVER,LIVER
c-92,c-368,TE9_OESOPHAGUS,OESOPHAGUS
c-93,c-369,ABC1_LUNG,LUNG
c-94,c-370,NCIH1373_LUNG,LUNG
c-95,c-371,EBC1_LUNG,LUNG
c-96,c-372,SKMES1_LUNG,LUNG
c-97,c-373,HCC56_LARGE_INTESTINE,INTESTINE
c-98,c-374,A204_SOFT_TISSUE,TISSUE
c-99,c-375,OUMS23_LARGE_INTESTINE,INTESTINE
